referenced_url,handler_type,handler_file,source_file
/services/digital-growth-strategy,exact,app/services/digital-growth-strategy/page.tsx,app/services/digital-growth-strategy/page.tsx
/services/digital-growth-strategy,exact,app/services/digital-growth-strategy/page.tsx,public/sitemap.xml
/services/digital-marketing,exact,app/services/digital-marketing/page.tsx,app/services/digital-marketing/page.tsx
/services/digital-marketing,exact,app/services/digital-marketing/page.tsx,app/services/online-marketing/[industry]/page.tsx
/services/digital-marketing,exact,app/services/digital-marketing/page.tsx,app/services/online-marketing/page.tsx
/services/digital-marketing,exact,app/services/digital-marketing/page.tsx,public/sitemap.xml
/services/digital-marketing/accountants,exact,app/services/digital-marketing/accountants/page.tsx,app/services/digital-marketing/accountants/page.tsx
/services/digital-marketing/accountants,exact,app/services/digital-marketing/accountants/page.tsx,public/sitemap.xml
/services/digital-marketing/bricklayers,exact,app/services/digital-marketing/bricklayers/page.tsx,app/services/digital-marketing/bricklayers/page.tsx
/services/digital-marketing/bricklayers,exact,app/services/digital-marketing/bricklayers/page.tsx,public/sitemap.xml
/services/digital-marketing/builders,exact,app/services/digital-marketing/builders/page.tsx,app/services/digital-marketing/builders/page.tsx
/services/digital-marketing/builders,exact,app/services/digital-marketing/builders/page.tsx,public/sitemap.xml
/services/digital-marketing/buyers-agents,exact,app/services/digital-marketing/buyers-agents/page.tsx,app/blog/buyers-agents-google-ads-strategy/page.tsx
/services/digital-marketing/buyers-agents,exact,app/services/digital-marketing/buyers-agents/page.tsx,app/services/digital-marketing/buyers-agents/page.tsx
/services/digital-marketing/buyers-agents,exact,app/services/digital-marketing/buyers-agents/page.tsx,public/sitemap.xml
/services/digital-marketing/electricians,exact,app/services/digital-marketing/electricians/page.tsx,app/services/digital-marketing/electricians/page.tsx
/services/digital-marketing/electricians,exact,app/services/digital-marketing/electricians/page.tsx,public/sitemap.xml
/services/digital-marketing/finance-brokers,exact,app/services/digital-marketing/finance-brokers/page.tsx,app/blog/financial-planner-lead-generation/page.tsx
/services/digital-marketing/finance-brokers,exact,app/services/digital-marketing/finance-brokers/page.tsx,app/blog/financial-planner-seo/page.tsx
/services/digital-marketing/finance-brokers,exact,app/services/digital-marketing/finance-brokers/page.tsx,app/services/digital-marketing/finance-brokers/page.tsx
/services/digital-marketing/finance-brokers,exact,app/services/digital-marketing/finance-brokers/page.tsx,public/sitemap.xml
/services/digital-marketing/floor-sanding,exact,app/services/digital-marketing/floor-sanding/page.tsx,app/services/digital-marketing/floor-sanding/page.tsx
/services/digital-marketing/floor-sanding,exact,app/services/digital-marketing/floor-sanding/page.tsx,public/sitemap.xml
/services/digital-marketing/lawyers,exact,app/services/digital-marketing/lawyers/page.tsx,app/blog/lawyers-lead-generation/page.tsx
/services/digital-marketing/lawyers,exact,app/services/digital-marketing/lawyers/page.tsx,app/services/digital-marketing/lawyers/page.tsx
/services/digital-marketing/lawyers,exact,app/services/digital-marketing/lawyers/page.tsx,public/sitemap.xml
/services/digital-marketing/ndis-providers,exact,app/services/digital-marketing/ndis-providers/page.tsx,app/services/digital-marketing/ndis-providers/page.tsx
/services/digital-marketing/ndis-providers,exact,app/services/digital-marketing/ndis-providers/page.tsx,public/sitemap.xml
/services/digital-marketing/painters,exact,app/services/digital-marketing/painters/page.tsx,app/services/digital-marketing/painters/page.tsx
/services/digital-marketing/painters,exact,app/services/digital-marketing/painters/page.tsx,public/sitemap.xml
/services/digital-marketing/plumbers,exact,app/services/digital-marketing/plumbers/page.tsx,app/services/digital-marketing/plumbers/page.tsx
/services/digital-marketing/plumbers,exact,app/services/digital-marketing/plumbers/page.tsx,public/sitemap.xml
/services/digital-marketing/removalists,exact,app/services/digital-marketing/removalists/page.tsx,app/services/digital-marketing/removalists/page.tsx
/services/digital-marketing/removalists,exact,app/services/digital-marketing/removalists/page.tsx,public/sitemap.xml
/services/email-marketing,exact,app/services/email-marketing/page.tsx,app/services/email-marketing/page.tsx
/services/email-marketing,exact,app/services/email-marketing/page.tsx,public/sitemap.xml
/services/google-ads,exact,app/services/google-ads/page.tsx,app/services/google-ads/page.tsx
/services/google-ads,exact,app/services/google-ads/page.tsx,public/sitemap.xml
/services/google-ads/accountants,exact,app/services/google-ads/accountants/page.tsx,app/services/google-ads/accountants/page.tsx
/services/google-ads/bricklayers,exact,app/services/google-ads/bricklayers/page.tsx,app/services/google-ads/bricklayers/page.tsx
/services/google-ads/builders,exact,app/services/google-ads/builders/page.tsx,app/services/google-ads/builders/page.tsx
/services/google-ads/buyers-agents,exact,app/services/google-ads/buyers-agents/page.tsx,app/blog/buyers-agents-google-ads-strategy/page.tsx
/services/google-ads/buyers-agents,exact,app/services/google-ads/buyers-agents/page.tsx,app/services/google-ads/buyers-agents/page.tsx
/services/google-ads/electricians,exact,app/services/google-ads/electricians/page.tsx,app/services/google-ads/electricians/page.tsx
/services/google-ads/finance-brokers,exact,app/services/google-ads/finance-brokers/page.tsx,app/blog/financial-planner-lead-generation/page.tsx
/services/google-ads/finance-brokers,exact,app/services/google-ads/finance-brokers/page.tsx,app/blog/financial-planner-seo/page.tsx
/services/google-ads/finance-brokers,exact,app/services/google-ads/finance-brokers/page.tsx,app/services/google-ads/finance-brokers/page.tsx
/services/google-ads/floor-sanding,exact,app/services/google-ads/floor-sanding/page.tsx,app/services/google-ads/floor-sanding/page.tsx
/services/google-ads/lawyers,exact,app/services/google-ads/lawyers/page.tsx,app/blog/lawyers-lead-generation/page.tsx
/services/google-ads/lawyers,exact,app/services/google-ads/lawyers/page.tsx,app/services/google-ads/lawyers/page.tsx
/services/google-ads/ndis-providers,exact,app/services/google-ads/ndis-providers/page.tsx,app/services/google-ads/ndis-providers/page.tsx
/services/google-ads/painters,exact,app/services/google-ads/painters/page.tsx,app/services/google-ads/painters/page.tsx
/services/google-ads/plumbers,exact,app/services/google-ads/plumbers/page.tsx,app/services/google-ads/plumbers/page.tsx
/services/google-ads/removalists,exact,app/services/google-ads/removalists/page.tsx,app/services/google-ads/removalists/page.tsx
/services/lead-generation,exact,app/services/lead-generation/page.tsx,app/services/lead-generation/[industry]/page.tsx
/services/lead-generation,exact,app/services/lead-generation/page.tsx,app/services/lead-generation/page.tsx
/services/lead-generation,exact,app/services/lead-generation/page.tsx,public/sitemap.xml
/services/lead-generation/buyers-agents,dynamic,app/services/lead-generation/[industry]/page.tsx,app/blog/buyers-agents-google-ads-strategy/page.tsx
/services/lead-generation/finance-brokers,dynamic,app/services/lead-generation/[industry]/page.tsx,app/blog/financial-planner-lead-generation/page.tsx
/services/lead-generation/finance-brokers,dynamic,app/services/lead-generation/[industry]/page.tsx,app/blog/financial-planner-seo/page.tsx
/services/lead-generation/lawyers,dynamic,app/services/lead-generation/[industry]/page.tsx,app/blog/lawyers-lead-generation/page.tsx
/services/online-marketing,exact,app/services/online-marketing/page.tsx,app/services/online-marketing/[industry]/page.tsx
/services/online-marketing,exact,app/services/online-marketing/page.tsx,app/services/online-marketing/page.tsx
/services/online-marketing,exact,app/services/online-marketing/page.tsx,public/sitemap.xml
/services/seo,exact,app/services/seo/page.tsx,app/services/seo-services/[industry]/page.tsx
/services/seo,exact,app/services/seo/page.tsx,app/services/seo-services/page.tsx
/services/seo,exact,app/services/seo/page.tsx,app/services/seo/page.tsx
/services/seo/accountants,exact,app/services/seo/accountants/page.tsx,app/services/seo/accountants/page.tsx
/services/seo/bricklayers,exact,app/services/seo/bricklayers/page.tsx,app/services/seo/bricklayers/page.tsx
/services/seo/builders,exact,app/services/seo/builders/page.tsx,app/services/seo/builders/page.tsx
/services/seo/buyers-agents,exact,app/services/seo/buyers-agents/page.tsx,app/services/seo/buyers-agents/page.tsx
/services/seo/electricians,exact,app/services/seo/electricians/page.tsx,app/services/seo/electricians/page.tsx
/services/seo/finance-brokers,exact,app/services/seo/finance-brokers/page.tsx,app/services/seo/finance-brokers/page.tsx
/services/seo/floor-sanding,exact,app/services/seo/floor-sanding/page.tsx,app/services/seo/floor-sanding/page.tsx
/services/seo/lawyers,exact,app/services/seo/lawyers/page.tsx,app/services/seo/lawyers/page.tsx
/services/seo/ndis-providers,exact,app/services/seo/ndis-providers/page.tsx,app/services/seo/ndis-providers/page.tsx
/services/seo/painters,exact,app/services/seo/painters/page.tsx,app/services/seo/painters/page.tsx
/services/seo/plumbers,exact,app/services/seo/plumbers/page.tsx,app/services/seo/plumbers/page.tsx
/services/seo/removalists,exact,app/services/seo/removalists/page.tsx,app/services/seo/removalists/page.tsx
/services/seo-services,exact,app/services/seo-services/page.tsx,app/services/seo-services/[industry]/page.tsx
/services/seo-services,exact,app/services/seo-services/page.tsx,app/services/seo-services/page.tsx
/services/seo-services,exact,app/services/seo-services/page.tsx,public/sitemap.xml
/services/seo-services/buyers-agents,dynamic,app/services/seo-services/[industry]/page.tsx,app/blog/buyers-agents-google-ads-strategy/page.tsx
/services/seo-services/finance-brokers,dynamic,app/services/seo-services/[industry]/page.tsx,app/blog/financial-planner-lead-generation/page.tsx
/services/seo-services/finance-brokers,dynamic,app/services/seo-services/[industry]/page.tsx,app/blog/financial-planner-seo/page.tsx
/services/seo-services/lawyers,dynamic,app/services/seo-services/[industry]/page.tsx,app/blog/lawyers-lead-generation/page.tsx
/services/social-media-marketing,exact,app/services/social-media-marketing/page.tsx,app/services/social-media-marketing/page.tsx
/services/social-media-marketing,exact,app/services/social-media-marketing/page.tsx,public/sitemap.xml
